Precambrain rocks ,Distance from initial capture point (m),size of canopy,larval count 
2,0,2,12
2,338.77,1,0
4,537.46,7,9
4,743.11,23,0
5,858.96,31,0
6,973.29,23,27
2,1184.26,43,0
2,1219.83,16,2
4,1324.89,24,6
1,1442.19,11,0
1,1577.69,0,0
2,1588.52,19,14
1,1606.43,10,0
1,1741.24,26,13
5,1855.36,0,0
1,1968.17,8,10
1,2036.11,13,0
1,2150.21,35,24
1,2267.59,15,0
2,2317.24,6,0
1,2438.37,34,26
2,2559.89,8,0
3,2612.32,11,0
4,2647.79,25,24
5,2745.45,16,0
6,2810.67,26,0
7,2916.83,3,11
8,2950.69,0,0
9,2981.87,16,0
2,3085.44,41,32
1,3139.69,15,0
2,3252.21,9,0
3,3366.58,17,17
4,3473.97,5,0
5,3488.45,0,0
6,3590.24,16,12
7,3601.17,0,0
8,3709.12,0,0
9,3815.19,18,15
0,3824.59,0,0
1,3921.48,34,21